DATE,COMNAM,TICKER,PERMNO
20170831,GRANITESHARES GOLD TRUST,BAR,16861
20180604,INVESCO D B COMM IDX TRK FD,DBC,91129
20000522,ISHARES INC,EWJ,83225
20080521,SPDR GOLD TRUST,GLD,90448
20070801,SPDR INDEX SHARES FUNDS,GXC,91878
20121022,ISHARES INC,IEMG,13613
20070801,SPDR SERIES TRUST,ITE,92026
20180604,INVESCO ACT MANAGED E T COMM FD,PDBC,15076
20091103,SCHWAB STRATEGIC TRUST,SCHB,93112
20100114,SCHWAB STRATEGIC TRUST,SCHE,93219
20100806,SCHWAB STRATEGIC TRUST,SCHP,12065
20100806,SCHWAB STRATEGIC TRUST,SCHR,12059
20031205,ISHARES TRUST,TIP,89959
20020726,ISHARES TRUST,TLT,89468
20100121,PROSHARES TRUST,UST,93218
20040130,VANGUARD INDEX FUNDS,VBR,90000
20070726,VANGUARD TAX MANAGED FUNDS,VEA,92187
20050310,VANGUARD INTL EQUITY INDEX FUNDS,VGK,91132
20060824,VANGUARD INDEX FUNDS,VOE,91423
20010531,VANGUARD INDEX FUNDS,VTI,90878
20040130,VANGUARD INDEX FUNDS,VTV,90004
20050310,VANGUARD INTL EQUITY INDEX FUNDS,VWO,91130
